Pos,ORB,AST,eFG%,BLK,3P,STL,TOV,TRB,3PA
SG,0.3,1.8,0.48200000000000004,0.2,2.3,0.7,1.2,2.3,6.3
C,2.3,1.8,0.522,1.5,0.0,1.8,2.4,8.1,0.0
C,1.1,0.4,0.5479999999999999,0.5,0.0,0.4,0.6,4.0,0.0
PF,1.4,0.6,0.466,0.3,0.0,0.3,0.7,3.2,0.1
PF,0.6,0.9,0.5,0.1,0.7,0.4,1.0,2.2,1.8
SG,0.3,1.9,0.483,0.3,1.5,0.6,1.3,2.5,4.5
PF,1.1,1.1,0.526,0.4,0.6,0.6,1.1,5.6,1.6
PF,0.9,0.2,0.465,0.2,0.0,0.3,0.3,2.0,0.1
PF,1.0,0.8,0.488,0.3,0.6,0.3,0.7,3.7,1.4
PF,0.6,0.4,0.537,0.4,0.7,0.2,0.7,3.6,2.0
PF,1.5,1.9,0.514,0.4,1.2,1.0,1.1,6.0,3.5
